"Part";"Value";"Device";"Package";"Description";"";
"C1";"1.0uF";"CAP_CERAMIC0805";"0805";"Ceramic Capacitors";"";
"C2";"1.0uF";"CAP_CERAMIC0805";"0805";"Ceramic Capacitors";"";
"C3";"1.0uF";"CAP_CERAMIC0805";"0805";"Ceramic Capacitors";"";
"C4";"1.0uF";"CAP_CERAMIC0805";"0805";"Ceramic Capacitors";"";
"C5";"2.2uF";"CAP_CERAMIC0805";"0805";"Ceramic Capacitors";"";
"C6";"2.2uF";"CAP_CERAMIC0805";"0805";"Ceramic Capacitors";"";
"C7";"2.2uF";"CAP_CERAMIC0805";"0805";"Ceramic Capacitors";"";
"C8";"0.1uF";"CAP_CERAMIC0805";"0805";"Ceramic Capacitors";"";
"JP1";"";"HEADER-1X876MIL";"1X08_ROUND_76";"PIN HEADER";"";
"LCD1";"UG-2832HSWEG04";"OLED_UG-2832HSWEG04WRAPAROUND";"UG-2832HSWEG04_WRAPAROUND";"128x32 SPI 0.91" Monochrome OLED Display";"";
"R1";"390K";"RESISTOR0805";"0805";"Resistors";"";
"U$2";"MOUNTINGHOLE2.0";"MOUNTINGHOLE2.0";"MOUNTINGHOLE_2.0_PLATED";"Mounting Hole";"";
"U$3";"MOUNTINGHOLE2.0";"MOUNTINGHOLE2.0";"MOUNTINGHOLE_2.0_PLATED";"Mounting Hole";"";
"U$4";"MOUNTINGHOLE2.0";"MOUNTINGHOLE2.0";"MOUNTINGHOLE_2.0_PLATED";"Mounting Hole";"";
"U$5";"MOUNTINGHOLE2.0";"MOUNTINGHOLE2.0";"MOUNTINGHOLE_2.0_PLATED";"Mounting Hole";"";
"U$6";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";
"U$7";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";
"U1";"74HC4050D";"74HC4050D";"SOIC16";"6-channel level shifter";"";
"U2";"";"VREG_SOT23-5";"SOT23-5";"SOT23-5 Fixed Voltage Regulators";"";
