"Part";"Value";"Device";"Package";"Description";"";
"C1";"10uF";"CAP_CERAMIC0805";"0805";"Ceramic Capacitors";"";
"C2";"180pF";"CAP_CERAMIC0805";"0805";"Ceramic Capacitors";"";
"C3";"10uF/16V";"CAP_CERAMIC0805";"0805";"Ceramic Capacitors";"";
"C5";"4.7uF/16V";"CAP_CERAMIC0805";"0805";"Ceramic Capacitors";"";
"C8";"10uF";"CAP_CERAMIC0805";"0805";"Ceramic Capacitors";"";
"CN1";"";"MICROSD";"MICROSD";"MicroSD/Transflash Card Holder with SPI pinout";"";
"D1";"BAT54T1G";"DIODESOD-123";"SOD-123";"Diode";"";
"IC1";"LP298XS";"LP298XS";"SOT23-5L";"";"";
"JP1";"";"HEADER-1X10THICKER";"1X10_ROUND_76";"PIN HEADER";"";
"JP2";"";"HEADER-1X10THICKER";"1X10_ROUND_76";"PIN HEADER";"";
"L1";"10uH";"INDUCTOR";"INDUCTOR_1007";"Inductors";"";
"LCD1";"UG-9664HDDAG01";"OLED_UG-9664HDDAG01WRAPAROUND";"UG-9664HDDAG01_WRAPAROUND";"OLED 96x64 Pixel, 0.95" 65K Color";"";
"R1";"100K";"RESISTOR0805";"0805";"Resistors";"";
"R2";"10K";"RESISTOR0805";"0805";"Resistors";"";
"R3";"920K";"RESISTOR0805";"0805";"Resistors";"";
"R4";"10K";"RESISTOR0805";"0805";"Resistors";"";
"R5";"10K";"RESISTOR0805";"0805";"Resistors";"";
"U$9";"MOUNTINGHOLE2.0";"MOUNTINGHOLE2.0";"MOUNTINGHOLE_2.0_PLATED";"Mounting Hole";"";
"U$11";"MOUNTINGHOLE2.0";"MOUNTINGHOLE2.0";"MOUNTINGHOLE_2.0_PLATED";"Mounting Hole";"";
"U$12";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";
"U$13";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";
"U1";"FAN5331SX";"FAN5331";"SOT23-5";"FAN5331 - LED/OLED 20V Boost Converter";"";
