"Part";"Value";"Device";"Package";"Description";"BOM";
"C1";"1uF";"CAP_CERAMIC0805_10MGAP";"0805_10MGAP";"Ceramic Capacitors";"";
"C3";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"C4";"10uF";"CAP_CERAMIC0805_10MGAP";"0805_10MGAP";"Ceramic Capacitors";"";
"D1";"RED";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";
"D2";"BLUE";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";
"D3";"1N4148";"DIODESOD-323";"SOD-323";"Diode";"";
"FID1";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";
"FID3";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";
"IC1";"74LVC2G34DBVR";"74LVC2G34DBVR";"SOT23-6";"";"";
"JP2";"";"HEADER-1X970MIL";"1X09_ROUND_70";"PIN HEADER";"";
"Q1";"BSS138";"MOSFET-NWIDE";"SOT23-WIDE@1";"N-Channel Mosfet";"";
"R1";"2K";"RESISTOR_0805MP";"_0805MP";"Resistors";"";
"R2";"2K";"RESISTOR_0805MP";"_0805MP";"Resistors";"";
"R3";"100K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";
"R4";"100K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";
"R5";"100K";"RESISTOR_0805MP";"_0805MP";"Resistors";"";
"TP1";"SWCLK";"TESTPOINT1.5X2.0MM_NOCREAM";"PAD-1.5X2.0";"Test Point";"";
"TP2";"SWDIO";"TESTPOINT1.5X2.0MM_NOCREAM";"PAD-1.5X2.0";"Test Point";"";
"TP3";"FCTRST";"TESTPOINT1.5X2.0MM_NOCREAM";"PAD-1.5X2.0";"Test Point";"";
"U$28";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"EXCLUDE";
"U$29";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"EXCLUDE";
"U1";"32KB NRF51822";"NRF51822_MODULE_MDBT40";"BLE_MODULE_RAYTAC_MDBT40";"nRF51822 Bluetooth Low Energy Module";"";
"U2";"MIC5225-3.3";"VREG_SOT23-5";"SOT23-5";"SOT23-5 Fixed Voltage Regulators";"";
"VTREF";"THREEV";"TESTPOINT1.5X2.0MM_NOCREAM";"PAD-1.5X2.0";"Test Point";"";
"Y1";"32.768kHz (535-9166-2-ND)";"CRYSTAL2.0X6.0_32.768";"CRYSTAL_CYL_2X6MM_SMT";"Crystals";"";
