"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R7,R1,R10";"0603-NO";3;"2.2K";;;
2;"U3";"SOT23-5";1;"MCP73831T-2ACI/OT";;;
3;"U$31,U$24,U$32,U$6";"MOUNTINGHOLE_2.5_PLATED";4;"MOUNTINGHOLE2.5";;;
4;"R3,R6,R9";"0603-NO";3;"100K";;;
5;"JP1";"1X16_ROUND";1;"";;;
6;"C14,C2,C7";"0603-NO";3;"1uF";;;
7;"C9";"_0805MP";1;"10uF";;;
8;"C8,C6,C3";"0805-NO";3;"10µF";;;
9;"U$35,U$34";"FIDUCIAL_1MM";2;"FIDUCIAL""";;;
10;"Y1";"RESONATOR-SMD";1;"8MHz";;;
11;"JP3";"1X12_ROUND";1;"";;;
12;"U2";"SOT23-5";1;"SPX3819-3.3";;;
13;"IC1";"TQFN44_7MM";1;"ATMEGA32U4-MU";;;
14;"D4";"SOD-123";1;"MBR120";;;
15;"R2";"0603-NO";1;"1K";;;
16;"D2";"CHIPLED_0805_NOOUTLINE";1;"BLUE";;;
17;"U$7";"ADAFRUIT_3.5MM";1;"";;;
18;"U1";"BLE_MODULE_RAYTAC_MDBT40";1;"MBT40";;;
19;"CHG0";"CHIPLED_0805_NOOUTLINE";1;"ORANGE";;;
20;"R4,R5";"0603-NO";2;"22";;;
21;"SW1";"KMR2";1;"SPST_TACT-KMR2";;;
22;"X3";"4UCONN_20329_V2";1;"microUSB";;;
23;"L0,D1";"CHIPLED_0805_NOOUTLINE";2;"RED";;;
24;"R8";"0603-NO";1;"10K\";;;
25;"X1";"JSTPH2";1;"JSTPH";;;
26;"TP3,TP2";"PAD-1.5X2.0";2;"SWDIO";;;
27;"U$26";"BLUEFRUITLOGO_100MM";1;"";;;
28;"TP1";"PAD-1.5X2.0";1;"SWCLK";;;
29;"U$23";"PCBFEAT-REV-040";1;"";;;
30;"U$9";"FEATHERLOGO";1;"";;;
