"Part";"Value";"Device";"Package";"Description";"BOM";"TP_SIGNAL_NAME";
"C3";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";
"C5";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";
"D1";"RED";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";"";
"FID1";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";
"FID2";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";
"IC1";"ATSAMD10D14A";"ATSAMD10D14A";"QFN24_4MM";"";"";"";
"Q3";"2N7002D";"MOSFET-N_DUAL";"SOT363";"Dual N-Channel MOSFET";"";"";
"R1";"1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";
"R2";"1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";
"R6";"10K";"RESISTOR_4PACK";"RESPACK_4X0603";"Resistor Packs (4 resistors)";"";"";
"SJ8";"";"SOLDERJUMPER";"SOLDERJUMPER_ARROW_NOPASTE";"SMD Solder JUMPER";"EXCLUDE";"";
"SJ9";"";"SOLDERJUMPER";"SOLDERJUMPER_ARROW_NOPASTE";"SMD Solder JUMPER";"EXCLUDE";"";
"TP1";"TPTP15R";"TPTP15R";"TP15R";"Test pad";"";"";
"TP2";"TPTP15R";"TPTP15R";"TP15R";"Test pad";"";"";
"TP3";"TPTP10R";"TPTP10R";"TP10R";"Test pad";"";"";
"TP4";"TPTP15R";"TPTP15R";"TP15R";"Test pad";"";"";
"U2";"MIC5225-3.3";"VREG_SOT23-5";"SOT23-5";"SOT23-5 Fixed Voltage Regulators";"";"";
"X1";"STEMMA_I2C_RASMT";"STEMMA_I2C_RASMT";"JSTPH4";"";"";"";
