"Part";"Value";"Device";"Package";"Description";"BOM";"POPULARITY";"TP_SIGNAL_NAME";
"BUSY";"TPTP15SQ";"TPTP15SQ";"TP15SQ";"Test pad";"";"0";"";
"C1";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";
"C2";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";
"C3";"10uF/10V+";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";
"C5";"1uF/10V";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";
"C6";"1uF/25V";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";
"C7";"1uF/25V";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";
"C8";"10uF/25V";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";
"C9";"1uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";
"C10";"1uF/10V";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";
"C13";"1uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";
"C15";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";
"C16";"1uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";
"C22";"1uF/25V";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";
"C23";"1uF/25V";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";
"C24";"1uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";
"D1";"3.6V";"DIODE-ZENERSOD323";"SOD-323";"Zener Diode";"";"";"";
"D2";"3.6V";"DIODE-ZENERSOD323";"SOD-323";"Zener Diode";"";"";"";
"D3";"MBR0530";"DIODE-SCHOTTKYSOD-123";"SOD-123";"";"";"";"";
"D4";"MBR0530";"DIODE-SCHOTTKYSOD-123";"SOD-123";"";"";"";"";
"D5";"MBR0530";"DIODE-SCHOTTKYSOD-123";"SOD-123";"";"";"";"";
"EINK2";"EINK_24PIN_154IN";"EINK_24PIN_154IN";"EINK_154IN";"";"";"";"";
"L1";"10uH";"INDUCTORNR401";"INDUCTOR_4X4MM_NR401";"Inductors";"";"";"";
"LEFT";"JST PH 3";"CON_JST_PH_3PIN";"JSTPH3";"";"";"";"";
"Q5";"IRLML0100";"IRLML2060TRPBF";"SOT23-3";"";"";"";"";
"R2";"1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";
"R5";"1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";
"R6";".47ohm";"RESISTOR0805_10MGAP";"0805_10MGAP";"Resistors";"";"";"";
"R7";"100K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";
"R12";"100";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";
"R13";"100";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";
"RIGHT";"JST PH 3";"CON_JST_PH_3PIN";"JSTPH3";"";"";"";"";
"TP1";"";"TESTPOINTROUND1.5MMNO";"TESTPOINT_ROUND_1.5MM_NO";"Test Point";"";"";"";
"TP2";"SEWTAP_SMTNUTM3";"SEWTAP_SMTNUTM3";"SMT_NUT_3MM";"";"";"";"";
"TP3";"SEWTAP_SMTNUTM3";"SEWTAP_SMTNUTM3";"SMT_NUT_3MM";"";"";"";"";
"TP4";"SEWTAP_SMTNUTM3";"SEWTAP_SMTNUTM3";"SMT_NUT_3MM";"";"";"";"";
"TP5";"SEWTAP_SMTNUTM3";"SEWTAP_SMTNUTM3";"SMT_NUT_3MM";"";"";"";"";
"TP6";"SEWTAP_SMTNUTM3";"SEWTAP_SMTNUTM3";"SMT_NUT_3MM";"";"";"";"";
"TP7";"SEWTAP_SMTNUTM3";"SEWTAP_SMTNUTM3";"SMT_NUT_3MM";"";"";"";"";
"TP8";"SEWTAP_SMTNUTM3";"SEWTAP_SMTNUTM3";"SMT_NUT_3MM";"";"";"";"";
"TP9";"SEWTAP_SMTNUTM3";"SEWTAP_SMTNUTM3";"SMT_NUT_3MM";"";"";"";"";
"TP10";"SEWTAP_SMTNUTM3";"SEWTAP_SMTNUTM3";"SMT_NUT_3MM";"";"";"";"";
"TP11";"SEWTAP_SMTNUTM3";"SEWTAP_SMTNUTM3";"SMT_NUT_3MM";"";"";"";"";
"TP12";"SEWTAP_SMTNUTM3";"SEWTAP_SMTNUTM3";"SMT_NUT_3MM";"";"";"";"";
"TP13";"SEWTAP_SMTNUTM3";"SEWTAP_SMTNUTM3";"SMT_NUT_3MM";"";"";"";"";
"TP14";"";"TESTPOINTROUND1.5MMNO";"TESTPOINT_ROUND_1.5MM_NO";"Test Point";"";"";"";
"TP15";"";"TESTPOINTROUND1.5MMNO";"TESTPOINT_ROUND_1.5MM_NO";"Test Point";"";"";"";
"TP16";"";"TESTPOINTROUND1.5MMNO";"TESTPOINT_ROUND_1.5MM_NO";"Test Point";"";"";"";
"TP17";"";"TESTPOINTROUND1.5MMNO";"TESTPOINT_ROUND_1.5MM_NO";"Test Point";"";"";"";
"TP18";"";"TESTPOINTROUND1.5MMNO";"TESTPOINT_ROUND_1.5MM_NO";"Test Point";"";"";"";
"U$1";"CON_MOLEX_2P";"CON_MOLEX_2P";"53398-0271";"";"";"";"";
"U$2";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";
"U$3";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";
"U$6";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";
