"Part";"Value";"Device";"Package";"Description";"BOM";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";
"D1";"1N4148";"DIODESOD-323";"SOD-323";"Diode";"";"";"";"";"";"";
"D2";"BLUE";"LED0603";"CHIPLED_0603";"LED";"";"";"";"";"";"";
"D3";"BLUE";"LED0603";"CHIPLED_0603";"LED";"";"";"";"";"";"";
"FID1";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";"";"";"";
"FID2";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";"";"";"";
"MIDIIN";"DIN_5";"DIN_5";"CP-2350";"";"";"";"";"";"";"";
"MIDIOUT";"DIN_5";"DIN_5";"CP-2350";"";"";"";"";"";"";"";
"MS1";"FEATHERWING_NODIM";"FEATHERWING_NODIM";"FEATHERWING_NODIM";"";"";"";"";"";"";"";
"OK2";"H11L1MS";"H11L1MS";"DIL6-SMD";"6-Pin DIP Optocoupler";"";"";"";"unknown";"unknown";"0";
"R1";"33";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";
"R2";"220";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";
"R3";"470";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";
"R4";"10";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";
"R5";"2.2K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";
"R6";"2.2K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";
"X1";"3.5mm";"AUDIO_STEREOJACK";"STX3100";"MIC/HEADPHONE JACK";"";"";"";"";"";"";
"X2";"3.5mm";"AUDIO_STEREOJACK";"STX3100";"MIC/HEADPHONE JACK";"";"";"";"";"";"";
