Partlist

Exported from boardEagle.brd at 15/10/2022 22:35

EAGLE Version 9.6.2 Copyright (c) 1988-2020 Autodesk, Inc.

Assembly variant: 

Part     Value                                     Package                              Library           Position (mil)        Orientation

C100     22pF                                      C402                                 dp_devices.v6     (365 732)             R270
C101     22pF                                      C402                                 dp_devices.v6     (510 1020)            R0
C102     0.1uF                                     C402                                 dp_devices.v6     (580 1490)            R90
C103     0.1uF                                     C402                                 dp_devices.v6     (490 655)             R180
C104     1uF                                       SMC_A                                dp_devices.v6     (510 570)             R180
C105     0.1uF                                     C603                                 dp_devices.v6     (1050 1682)           R90
C106     0.1uF                                     C402                                 dp_devices.v6     (1360 440)            R270
C107     0.1uF                                     C603                                 dp_devices.v6     (1450 1482)           R90
C108     0.1uF                                     C402                                 dp_devices.v6     (650 1490)            R90
C109     0.1uF                                     C402                                 dp_devices.v6     (653 445)             R270
C110     0.1uF                                     C402                                 dp_devices.v6     (360 1230)            R180
C111     0.1uF                                     C402                                 dp_devices.v6     (1010 440)            R270
C112     0.1uF                                     C402                                 dp_devices.v6     (1150 440)            R270
C113     0.1uF                                     C402                                 dp_devices.v6     (1520 800)            R270
C114     0.1uF                                     C402                                 dp_devices.v6     (1580 1030)           R0
C115     0.1uF                                     C603                                 dp_devices.v6     (1130 1532)           R90
C116     0.1uF                                     C603                                 dp_devices.v6     (1050 1532)           R90
C200     0.1uF                                     C402                                 dp_devices.v6     (3030 780)            R0
C201     0.1uF                                     C402                                 dp_devices.v6     (2200 140)            R180
C202     1uF                                       C402                                 dp_devices.v6     (2310 140)            R0
C203     1.5nF                                     C402                                 dp_devices.v6     (1750 140)            R180
C204     1uF                                       C402                                 dp_devices.v6     (1860 140)            R180
C205     1uF                                       C402                                 dp_devices.v6     (1970 300)            R0
C300     4.7uF                                     C603                                 dp_devices.v6     (145 500)             R180
C301     4.7uF                                     C603                                 dp_devices.v6     (509 450)             R270
C302     1uF                                       C402                                 dp_devices.v6     (500 330)             R270
C303     0.1uF                                     C402                                 dp_devices.v6     (500 210)             R90
C304     DNP                                       C603                                 dp_devices.v6     (350 105)             R0
C305     4.7uF                                     C603                                 dp_devices.v6     (360 1760)            R270
C306     1uF                                       C603                                 dp_devices.v6     (360 1430)            R0
C307     4.7uF                                     C603                                 dp_devices.v6     (1460 450)            R0
C308     1uF                                       C402                                 dp_devices.v6     (1625 550)            R0
C400     0.1uF                                     C402                                 dp_devices.v6     (3050 1780)           R180
C401     0.1uF                                     C402                                 dp_devices.v6     (3260 1725)           R270
C402     0.1uF                                     C402                                 dp_devices.v6     (3055 655)            R0
C403     0.1uF                                     C402                                 dp_devices.v6     (3260 595)            R270
C404     0.1uF                                     C402                                 dp_devices.v6     (2665 1785)           R0
C405     0.1uF                                     C402                                 dp_devices.v6     (2870 1740)           R270
C406     0.1uF                                     C402                                 dp_devices.v6     (2665 655)            R0
C407     0.1uF                                     C402                                 dp_devices.v6     (2870 595)            R270
C408     0.1uF                                     C402                                 dp_devices.v6     (3055 1445)           R180
C409     0.1uF                                     C402                                 dp_devices.v6     (3260 1385)           R270
C410     0.1uF                                     C402                                 dp_devices.v6     (3055 325)            R180
C411     0.1uF                                     C402                                 dp_devices.v6     (3260 265)            R270
C412     0.1uF                                     C402                                 dp_devices.v6     (2665 1445)           R180
C413     0.1uF                                     C402                                 dp_devices.v6     (2870 1385)           R270
C414     0.1uF                                     C402                                 dp_devices.v6     (2660 325)            R0
C415     0.1uF                                     C402                                 dp_devices.v6     (2870 265)            R270
C416     0.1uF                                     C402                                 dp_devices.v6     (3260 1610)           R270
C417     0.1uF                                     C402                                 dp_devices.v6     (2870 1610)           R270
C418     0.1uF                                     C402                                 dp_devices.v6     (3260 1270)           R270
C419     0.1uF                                     C402                                 dp_devices.v6     (3260 480)            R270
C420     0.1uF                                     C402                                 dp_devices.v6     (2870 1270)           R270
C421     0.1uF                                     C402                                 dp_devices.v6     (2870 480)            R270
C422     0.1uF                                     C402                                 dp_devices.v6     (3260 150)            R270
C423     0.1uF                                     C402                                 dp_devices.v6     (2870 150)            R270
C500     0.1uF                                     C603                                 dp_devices.v6     (3305 1850)           R0
C501     0.1uF                                     C402                                 dp_devices.v6     (3330 390)            R0
