"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"DIGIKEY_PART";"HEIGHT";"LCSC_PART";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MFG_NAME";"MFG_PART";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"RS_PART_NUMBER";"RS_PRICE-STOCK";
"C1";"100n";"CAP-0402";"_PKG_C_0402";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C2";"100n";"CAP-0402";"_PKG_C_0402";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C3";"22u";"CAP-0805";"_PKG_C_0805";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C4";"22u";"CAP-0805";"_PKG_C_0805";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C5";"100n";"CAP-0402";"_PKG_C_0402";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C6";"12p";"CAP-0402";"_PKG_C_0402";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C7";"12p";"CAP-0402";"_PKG_C_0402";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C8";"1u";"CAP-0402";"_PKG_C_0402";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C9";"DNP";"CAP-0402";"_PKG_C_0402";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C10";"DNP";"CAP-0402";"_PKG_C_0402";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C11";"100n";"CAP-0402";"_PKG_C_0402";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C12";"100n";"CAP-0402";"_PKG_C_0402";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C13";"100n";"CAP-0402";"_PKG_C_0402";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C14";"22u";"CAP-0805";"_PKG_C_0805";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C15";"100n";"CAP-0402";"_PKG_C_0402";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C16";"22u";"CAP-0805";"_PKG_C_0805";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C17";"100n";"CAP-0402";"_PKG_C_0402";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C18";"100n";"CAP-0402";"_PKG_C_0402";"";"";"";"";"";"";"";"";"";"";"";"";"";
"CON3";"DNP";"DEBUG_CORTEX-SWD/CJTAG-5PIN-CUT5";"DEBUG_CORTEX_5PIN";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D1";"PRTR5V0U2F,115";"DIODE-TVS-PRTR5V0U2F"";"_PKG_SOT886_JEDEC-MO-252";"ESD Suppressor, NXP, PRTR5V0U2F";"ESD Suppressor, NXP, PRTR5V0U2F";"";"0.5mm";"";"Nexperia";"PRTR5V0U2F,115";"";"";"771-PRTR5V0U2F-T/R";"https://www.mouser.com/Search/Refine.aspx?Keyword=771-PRTR5V0U2F-T%2FR";"8166931P";"http://uk.rs-online.com/web/p/products/8166931P";
"FL1";"BALUN_LFB182G45BG5D920";"BALUN_LFB182G45BG5D920";"LFB182G45BG5D920";"Balance Matching BAND PASS FILTER";"Balance Matching BAND PASS FILTER";"";"mm";"";"Murata Electronics";"LFB182G45BG5D920";"";"";"81-LFB182G45BG5D920";"https://www.mouser.com/Search/Refine.aspx?Keyword=81-LFB182G45BG5D920";"";"";
"IC1";"CH340E";"INTERFACE-CH340E";"_PKG_MSOP10_TI-DGS10";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC2";"ME6211C33R5G";"POWER-LDO-ME6211C33R5G";"SOT65P212X110-5N";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC3";"CC2652R1FRGZ";"WMCU-CC2652R1FRGZ";"QFN50P700X700X100-49N";"Texas Instruments SimpleLink? Multi-Standard CC2652R Wireless MCU 48-VQFN -40 to 85";"Texas Instruments SimpleLink? Multi-Standard CC2652R Wireless MCU 48-VQFN -40 to 85";"";"1mm";"";"Texas Instruments";"CC2652R1FRGZT";"";"";"595-CC2652R1FRGZT";"https://www.mouser.com/Search/Refine.aspx?Keyword=595-CC2652R1FRGZT";"";"";
"L1";"BLM18HE152SN1";"INDUCTOR-0603";"_PKG_L_0603";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L2";"MLZ2012N6R8LT000";"INDUCTOR-0805";"_PKG_C_0805";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L3";"0";"INDUCTOR-0402";"_PKG_L_0402";"";"";"";"";"";"";"";"";"";"";"";"";"";
"LED1";"";"LED-0603";"_PKG_LED_0603";"";"";"";"";"";"";"";"";"";"";"";"";"";
"MOD1";"";"ZZH_MODULE";"ZZH_MODULE";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R1";"100K";"RES-0402";"_PKG_C_0402";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R2";"100";"RES-0402";"_PKG_C_0402";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R3";"100K";"RES-0402";"_PKG_C_0402";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SW1";"K2-1177SW-D4DW-06";"PUSHBUTTON-K2-1177SW-D4DW-06";"K2-1177SW-D4DW-06";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$5";"LOGO-ELECTROLAMA";"LOGO-ELECTROLAMA";"ELECTROLAMA";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Y1";"Q22FA12800150";"48.000MHZ_CX2016DB48000C0FPLC1";"XTAL-4P-2016";"48MHz ±10ppm Crystal 7pF 50 Ohms 4-SMD, No Lead";"";"1253-2042-1-ND";"";"";"";"";"KYOCERA";"CX2016DB48000C0FPLC1";"";"";"";"";
"Y2";"32.768KHz";"32.768KHZ_Q13FC1350000400";"XTAL-2P-3215";"SMD Crystal Resonators 32.768KHz +/-20ppm SMD-3215_2P RoHS";"";"";"";"C32346";"";"";"SEIKO EPSON";"Q13FC1350000400";"";"";"";"";
