"Part";"Value";"Device";"Package";"Description";"";
"C1";"0.1uF";"CAPPTH2";"CAP-PTH-SMALL2";"Capacitor";"";
"C2";"0.1uF";"CAPPTH2";"CAP-PTH-SMALL2";"Capacitor";"";
"C3";"0.1uF";"CAPPTH2";"CAP-PTH-SMALL2";"Capacitor";"";
"C4";"0.1uF";"CAPPTH2";"CAP-PTH-SMALL2";"Capacitor";"";
"C5";"10uF";"CAP_POLPTH2";"CPOL-RADIAL-10UF-25V";"Capacitor Polarized";"";
"D1";"";"LED_BARGRAPH_10";"LED_BARGAPH_10";"10-Segment LED Bar Graph";"";
"D2";"";"LED_BARGRAPH_10";"LED_BARGAPH_10";"10-Segment LED Bar Graph";"";
"D3";"";"LED_BARGRAPH_10";"LED_BARGAPH_10";"10-Segment LED Bar Graph";"";
"IC1";"74LS595N";"74LS595N";"DIL16";"8-bit SHIFT REGISTER, output latch";"";
"IC2";"74LS595N";"74LS595N";"DIL16";"8-bit SHIFT REGISTER, output latch";"";
"IC3";"74LS595N";"74LS595N";"DIL16";"8-bit SHIFT REGISTER, output latch";"";
"IC4";"74LS595N";"74LS595N";"DIL16";"8-bit SHIFT REGISTER, output latch";"";
"JP1";"IN";"M06SIP";"1X06";"Header 6";"";
"JP2";"OUT";"M06SIP";"1X06";"Header 6";"";
"JP3";"";"M02PTH";"1X02";"Header 2";"";
"LOGO1";"LOGO-SFENW2";"LOGO-SFENW2";"SFE-NEW-WEB";"Spark Fun Electronics PCB Logo";"";
"LOGO2";"LOGO-SFESK";"LOGO-SFESK";"SFE-LOGO-FLAME";"Spark Fun Electronics PCB Logo";"";
"R1";"1K";"RESISTORAXIAL-0.3";"AXIAL-0.3";"Resistor";"";
"R2";"330";"RPACK-BUSSED-SIP-PTH-5";"RPACK-SIP-PTH-5";"BOURNS 4600X series thick-film SIP resistor packs";"";
"R3";"330";"RPACK-BUSSED-SIP-PTH-5";"RPACK-SIP-PTH-5";"BOURNS 4600X series thick-film SIP resistor packs";"";
"R4";"330";"RPACK-BUSSED-SIP-PTH-5";"RPACK-SIP-PTH-5";"BOURNS 4600X series thick-film SIP resistor packs";"";
"R5";"330";"RPACK-BUSSED-SIP-PTH-5";"RPACK-SIP-PTH-5";"BOURNS 4600X series thick-film SIP resistor packs";"";
"R6";"330";"RPACK-BUSSED-SIP-PTH-5";"RPACK-SIP-PTH-5";"BOURNS 4600X series thick-film SIP resistor packs";"";
"R7";"330";"RPACK-BUSSED-SIP-PTH-5";"RPACK-SIP-PTH-5";"BOURNS 4600X series thick-film SIP resistor packs";"";
"SO1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";
"SO2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";
"SO3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";
"SO4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";
"U$5";"OSHW-LOGOM";"OSHW-LOGOM";"OSHW-LOGO-M";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";
"U$6";"CREATIVE_COMMONS";"CREATIVE_COMMONS";"CREATIVE_COMMONS";"";"";
