"Part";"Value";"Device";"Package";"Description";"NO_PART";"PROD_ID";"VALUE";
"+";"SEWTAP9";"SEWTAP9";"PETAL-LONG-1-2SIDE";"";"1";"";"";
"-";"SEWTAP9";"SEWTAP9";"PETAL-LONG-1-2SIDE";"";"1";"";"";
"A2";"SEWTAP9";"SEWTAP9";"PETAL-LONG-1-2SIDE";"";"1";"";"";
"A3";"SEWTAP9";"SEWTAP9";"PETAL-LONG-1-2SIDE";"";"1";"";"";
"A4";"SEWTAP9";"SEWTAP9";"PETAL-LONG-1-2SIDE";"";"1";"";"";
"A5";"SEWTAP9";"SEWTAP9";"PETAL-LONG-1-2SIDE";"";"1";"";"";
"C1";"470pF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"CAP-07884";"";
"C2";".1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"CAP-00810";"";
"C3";".1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"CAP-00810";"";
"C4";".1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"CAP-00810";"";
"C5";"1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"CAP-00868";"";
"C6";"4.7uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"CAP-08280";"";
"C7";"4.7uF";"CAP1206";"1206";"Capacitor";"";"CAP-10300";"";
"C8";"4.7uF";"CAP1206";"1206";"Capacitor";"";"CAP-10300";"";
"D1";"B340A";"DIODE-SCHOTTKY-B340A";"SMA-DIODE";"Schottky diodes in SFE's production catalog";"";"DIO-09886";"B340A";
"D5";"SEWTAP9";"SEWTAP9";"PETAL-LONG-1-2SIDE";"";"1";"";"";
"D6";"SEWTAP9";"SEWTAP9";"PETAL-LONG-1-2SIDE";"";"1";"";"";
"D9";"SEWTAP9";"SEWTAP9";"PETAL-LONG-1-2SIDE";"";"1";"";"";
"D10";"SEWTAP9";"SEWTAP9";"PETAL-LONG-1-2SIDE";"";"1";"";"";
"D11";"SEWTAP9";"SEWTAP9";"PETAL-LONG-1-2SIDE";"";"1";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";
"JP1";"JST-2";"M02-JST-2MM-SMT";"JST-2-SMD";"Standard 2-pin 0.1" header. Use with";"";"CONN-08352";"";
"JP2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";
"JP3";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";
"LED1";"RED";"LED0603";"LED-0603";"LEDs";"";"DIO-00819";"";
"LED2";"RED";"LED0603";"LED-0603";"LEDs";"";"DIO-00819";"";
"LED3";"RED";"LED0603";"LED-0603";"LEDs";"";"DIO-00819";"";
"LED4";"RED";"LED0603";"LED-0603";"LEDs";"";"DIO-00819";"";
"R1";"330";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"RES-00818";"";
"R2";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"RES-00824";"";
"R3";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"RES-00824";"";
"R4";"22";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"RES-08698";"";
"R5";"22";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"RES-08698";"";
"R6";"330";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"RES-00818";"";
"R7";"330";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"RES-00818";"";
"R8";"330";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"RES-00818";"";
"S1";"";"SWITCH-DPDTAYZ0202";"AYZ0202";"DPDT Version of the COM-00597";"";"SWCH-08179";"DPDT";
"S2";"!RESET";"SWITCH-MOMENTARY-2SMD";"TACTILE_SWITCH_SMD";"Various NO switches- pushbuttons, reed, etc";"";"SWCH-08247";"";
"U$1";"LOGO-LPLPA";"LOGO-LPLPA";"LOGO-LPA";"";"";"";"";
"U$5";"OSHW-LOGOM";"OSHW-LOGOM";"OSHW-LOGO-M";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";"";
"U$13";"LOGO-LPLP";"LOGO-LPLP";"LOGO-LILYPAD";"";"1";"";"";
"U1";"MCP73831";"MCP73831";"SOT23-5";"Miniature single cell, fully integrated Li-Ion, Li-polymer charge management controller";"";"IC-09995";"";
"U2";"MIC5219";"V_REG_MIC52193.3V";"SOT23-5";"V_REG MIC5219";"";"VREG-09872";"MIC5219 3.3V";
"U3";"ATMEGA32U41:1-LESS_PASTE";"ATMEGA32U41:1-LESS_PASTE";"QFN-44-NOPAD_1:1-LESS_PASTE";"Atmel 44-pin 8-bit Microcontroller with 32KBytes of ISP Flash and USB Controller";"";"IC-10828";"";
"U5";"";"USB-ABCONN-11794";"USB-AB-MICRO-SMD_V03";"This is a USB AB connector that is compatible with USB OTG. i.e. this connector can serve as a host or device";"";"CONN-11794";"";
"Y1";"8MHz";"RESONATOR8MHZ";"RESONATOR-SMD";"Resonator";"";"XTAL-08895";"8MHZ";
