"Part";"Value";"Device";"Package";"Description";"PROD_ID";
"C1";"4.7uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C2";"4.7uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";
"JP1";"JST";"M02-JST-2MM-SMT";"JST-2-SMD";"Standard 2-pin 0.1" header. Use with";"CONN-08352";
"JP2";"IN";"M02PTH";"1X02";"Standard 2-pin 0.1" header. Use with";"";
"JP3";"OUT";"M02PTH";"1X02";"Standard 2-pin 0.1" header. Use with";"";
"JP4";"";"M06SIP";"1X06";"Header 6";"";
"LOGO1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";
"LOGO2";"LOGO-SFENW2";"LOGO-SFENW2";"SFE-NEW-WEB";"Spark Fun Electronics PCB Logo";"";
"LOGO3";"LOGO-SFESK";"LOGO-SFESK";"SFE-LOGO-FLAME";"Spark Fun Electronics PCB Logo";"";
"R1";"0.05";"RESISTOR1206";"1206";"Resistor";"";
"R2";"DNP";"RESISTORAXIAL-0.3";"AXIAL-0.3";"Resistor";"";
"R3";"75K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R4";"47K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R5";"3.3K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R6";"75K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R7";"3.3K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R8";"47K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R9";"3.3K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"SJ1";"";"SOLDERJUMPERNC";"SJ_2S";"Solder Jumper";"";
"SJ2";"";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";
"SJ3";"";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";
"U1";"LTC4150";"LTC4150";"MSOP10";"";"";
