"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"VALUE";"VERSION";
"C1";"2.2uF";"2.2UF-25V-+80/-20(0805)";"0805-CAP";"CAP-11624";"";"CAP-11624";"2.2uF";"";
"C2";"1uF";"1UF-25V-10%(0805)"";"0805-CAP";"CAP-08064";"";"";"";"";
"C3";"1uF";"1UF-25V-10%(0805)"";"0805-CAP";"CAP-08064";"";"";"";"";
"C4";"1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"CAP-00868";"";"";
"C5";"4.7uF";"4.7UF-16V-20%,+80%-(1206)";"1206-CAP";"CAP-10300";"";"CAP-10300";"4.7uF";"";
"C6";"1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"CAP-00868";"";"";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FRAME1";"";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"NAME";"";"";"v01";
"JP3";"SPARK_PHOTONTEMPLATE_WIDE";"SPARK_PHOTONTEMPLATE_WIDE";"SPARK_PHOTON_TEMPLATE_WIDE";"";"";"";"";"";
"LOGO1";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SFE Logo, name and flame";"";"";"";"";
"LOGO2";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SFE Logo, name and flame";"";"";"";"";
"LOGO3";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo";"";"";"";"";
"OLED1";"OLED0.66";"OLED0.66";"OLED-0.66-64X48";"";"";"LCD-12019";"";"";
"R1";"390k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"RES-12024";"";"";
"R2";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"RES-00824";"";"";
"R5";"10K";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"10K";"";
"R7";"10K";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"10K";"";
"SJ1";"BS1";"JUMPER-PAD-3-2OF3_NC_BY_PASTE";"PAD-JUMPER-3-2OF3_NC_BY_PASTE_YES_SILK_FULL_BOX";"";"";"";"";"";
"SJ2";"BS2";"JUMPER-PAD-3-2OF3_NC_BY_PASTE";"PAD-JUMPER-3-2OF3_NC_BY_PASTE_YES_SILK_FULL_BOX";"";"";"";"";"";
"SJ3";"";"JUMPER-PAD-2-NC_BY_TRACE";"PAD-JUMPER-2-NC_BY_TRACE_YES_SILK";"";"";"";"";"";
"SJ4";"";"JUMPER-PAD-3-NOYES_SILK";"PAD-JUMPER-3-NO_YES_SILK";"";"";"";"";"";
"SJ5";"";"JUMPER-PAD-2-NOYES_SILK";"PAD-JUMPER-2-NO_YES_SILK";"";"";"";"";"";
"SJ8";"";"JUMPER-PAD-3-2OF3_NC_BY_TRACE_SMALL";"PAD-JUMPER-3-2OF3_NC_BY_TRACE_YES_SILK_FULL_BOX";"";"";"";"";"";
"SJ10";"";"JUMPER-PAD-3-2OF3_NC_BY_TRACE_SMALL";"PAD-JUMPER-3-2OF3_NC_BY_TRACE_YES_SILK_FULL_BOX";"";"";"";"";"";
"TP1";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";"";"";
"TP2";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";"";"";
