"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SF_SKU";"SKU";"VALUE";
"B1";"ARDUINO_UNO_SHIELD";"ARDUINO_UNO_R3_SHIELDBASIC";"UNO_R3_SHIELD";"Arduino R3 Shield Footprint";"";"";"";"";
"C2";"10uF";"10UF-0805-10V-10%";"0805";"10.0µF ceramic capacitors";"CAP-11330";"";"";"10uF";
"C3";"DNP";"1.0PF-0603-50V-25%";"0603";"1pF ceramic capacitors";"CAP-07879";"";"";"1.0pF";
"C4";"DNP";"1.0PF-0603-50V-25%";"0603";"1pF ceramic capacitors";"CAP-07879";"";"";"1.0pF";
"C7";"0.0";"1.0PF-0603-50V-25%";"0603";"1pF ceramic capacitors";"CAP-07879";"";"";"1.0pF";
"C9";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"";"";"0.1uF";
"C12";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"";"";"0.1uF";
"D1";"RED";"LED-RED0603";"LED-0603";"Assorted Red LEDs";"DIO-00819";"";"";"RED";
"D2";"B340A";"DIODE-SCHOTTKY-B340A";"SMA-DIODE";"Schottky diodes in SFE's production catalog";"DIO-09886";"";"";"B340A";
"E1";"Trace Antenna";"ANTENNA_GROUNDED1";"915MHZ_ANTENNA_TRIMBLE";"";"";"";"";"";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FRAME1";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";"";
"J2";"FTDI";"CONN_06SILK_FEMALE_PTH";"1X06";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"CONN-08437";"";"";"";
"J3";"JST";"CONN_02JST-PTH-2";"JST-2-PTH";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"CONN-09863";"";"PRT-09914";"";
"J4";"U.FL";"U.FL";"U.FL";"SMD antenna connector- WRL-09144";"CONN-09193";"";"";"U.FL";
