"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"REV";"SF_ID";"VALUE";
"C1";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"CAP-11015";"";"";"10uF";
"C2";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"CAP-11015";"";"";"10uF";
"D1";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";"DIO-00819";"";"";"RED";
"D2";"GREEN";"LED-GREEN0603";"LED-0603";"Green SMD LED";"";"DIO-00821";"";"";"GREEN";
"D3";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LED";"";"DIO-09003";"";"";"Yellow";
"FD1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";
"FD2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";
"FD3";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";
"FD4";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";"";"";
"H1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";
"J1";"";"JST_2MM_MALE";"JST-2-SMD";"JST 2MM MALE RA CONNECTOR";"";"CONN-11443";"";"PRT-08612";"";
"J2";"";"USB_C16PIN";"USB-C-16P";"USB Type C 16Pin Connector";"";"CONN-14122";"";"";"";
"J3";"";"CONN_021X02_NO_SILK";"1X02_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";
"LOGO1";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SparkFun Font Logo w/ Flame";"";"";"";"";"";
"LOGO2";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open-Source Hardware (OSHW) Logo";"";"";"";"";"";
"R1";"1.5k";"1.5KOHM-0603-1/10W-1%";"0603";"1.5kΩ resistor";"";"RES-08306";"";"";"1.5k";
"R2";"1.5k";"1.5KOHM-0603-1/10W-1%";"0603";"1.5kΩ resistor";"";"RES-08306";"";"";"1.5k";
"R3";"1.5k";"1.5KOHM-0603-1/10W-1%";"0603";"1.5kΩ resistor";"";"RES-08306";"";"";"1.5k";
"R4";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"RES-07856";"";"";"1k";
"R5";"PROG";"RESISTORAXIAL-0.3";"AXIAL-0.3";"Generic Resistor Package";"";" ";"";"";" ";
"R6";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"";"10k";
"R7";"THERM";"RESISTORAXIAL-0.3";"AXIAL-0.3";"Generic Resistor Package";"";" ";"";"";" ";
"R8";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"RES-12083";"";"";"5.1k";
"R9";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"RES-12083";"";"";"5.1k";
"U1";"MCP73833";"MCP73833";"DFN-10";"";"";"IC-14369";"";"";"MCP73833";
