"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"FRAME1";"CREATIVE_COMMONS";1;"FRAME-LETTER";;;
2;"U$34";"185";1;"";;;
3;"J1";"1X12_SM_SQ_NOSILK";1;"";;;
4;"U3";"SOT23-5";1;"AP2112K-3.3V";;;
5;"S1";"TACTILE_SWITCH_SMD_4.6X2.8MM";1;"RESET";;;
6;"U$57";"51";1;"";;;
7;"C10";"0402";1;"1.0uF";;;
8;"U$50,U$23";"921";2;"";;;
9;"U$30";"131";1;"";;;
10;"J2";"1X16_SM_SQ_NOSILK";1;"";;;
11;"D3";"LED-0603";1;"BLUE";;;
12;"Q1";"SOT23-3@1";1;"2.5A/30V";;;
13;"U$20";"SFE_LOGO_NAME_.1";1;"";;;
14;"U$56";"PWR0";1;"";;;
15;"U$42";"NC13";1;"";;;
16;"U4";"QFN24";1;"CP210X";;;
17;"U$61";"CHG1";1;"";;;
18;"C6,C19";"0603";2;"4.7uF";;;
19;"C7,C1";"0603";2;"1.0uF";;;
20;"U$45";"1116";1;"";;;
21;"R3,R1,R9,R4";"0603";4;"1k";;;
22;"D1";"LED-0603";1;"Yellow";;;
23;"U$66";"#2";1;"";;;
24;"U$48";"1219";1;"";;;
25;"U$44";"#RST15";1;"";;;
26;"U$38";"A39";1;"";;;
27;"U$33";"164";1;"";;;
28;"D2";"SOD-323";1;"1A/620mV";;;
29;"H3,H4,H2,H1";"STAND-OFF";4;"STAND-OFF";;;
30;"U2";"SOT23-5";1;"MCP73831";;;
31;"U$63";"QWIIC_5MM";1;"QWIIC_LOGO_5MM";;;
32;"U$49";"1020";1;"";;;
33;"R7,R5";"0603";2;"10k";;;
34;"U$39";"A210";1;"";;;
35;"FD1,FD3,FD2,FD4";"FIDUCIAL-MICRO";4;"FIDUCIALUFIDUCIAL";;;
36;"U$35";"66";1;"";;;
37;"U$36";"57";1;"";;;
38;"R8";"0402";1;"100K";;;
39;"D4";"LED-0603";1;"RED";;;
40;"R6";"0603";1;"2.0k";;;
41;"U1";"XBEE3";1;"XBEE3_Micro";;;
42;"U$47";"1918";1;"";;;
43;"S2";"TACTILE_SWITCH_SMD_4.6X2.8MM";1;"5";;;
44;"U$55";"EN3";1;"";;;
45;"U$58";"RST0";1;"";;;
46;"U$60";"VBAT2";1;"";;;
47;"J3";"JST04_1MM_RA";1;"";;;
48;"J5";"USB-MICROB-PTH-MILL";1;"";;;
49;"U$41,U$62";"GND12";2;"";;;
50;"U$46";"117";1;"";;;
51;"U$29";"170";1;"";;;
52;"U$51";"822";1;"";;;
53;"J4";"JST-2-SMD";1;"";;;
54;"R2";"0603";1;"10";;;
55;"U$43";"3V314";1;"";;;
56;"U$32";"153";1;"";;;
57;"U$64";"#1";1;"";;;
58;"U$31";"142";1;"";;;
59;"U$54";"VUSB4";1;"";;;
60;"U$52";"723";1;"";;;
61;"U$59";"44";1;"";;;
62;"U$37";"48";1;"";;;
63;"C2";"0603";1;"10uF";;;
64;"U$40";"A011";1;"";;;
65;"U$68";"#RTS1";1;"";;;
66;"U$69";"#DTR3";1;"";;;
67;"U$8";"47";1;"";;;
68;"U$71";"17#4";1;"";;;
69;"U$14";"14#RX13";1;"";;;
70;"LOGO2";"OSHW-LOGO-S";1;"OSHW-LOGOS";;;
71;"U$18";"EN17";1;"";;;
72;"U$70";"8#2";1;"";;;
73;"U$15";"13#TX14";1;"";;;
74;"U$13";"15#MISO12";1;"";;;
75;"U$4,U$16";"GND3";2;"";;;
76;"U$2";"3V31";1;"";;;
77;"U$6";"A26";1;"";;;
78;"U$19";"VUSB18";1;"";;;
79;"U$27";"1#SCL25";1;"";;;
80;"U$67";"6#0";1;"";;;
81;"U$3";"NC2";1;"";;;
82;"U$12";"16#MOSI11";1;"";;;
83;"U$9";"58";1;"";;;
84;"U$24";"1022";1;"";;;
85;"U$72";"#CS5";1;"";;;
86;"LOGO1";"SFE_LOGO_NAME_FLAME_.1";1;"SFE_LOGO_NAME_FLAME.1_INCH";;;
87;"U$26";"1924";1;"";;;
88;"U$25";"1223";1;"";;;
89;"U$7";"A35";1;"";;;
90;"U$1";"#RESET0";1;"";;;
91;"U$21";"719";1;"";;;
92;"U$17";"VBAT16";1;"";;;
93;"U$11";"18#SCK10";1;"";;;
94;"U$65";"XBEE3_THING_PLUS0";1;"";;;
95;"U$28";"11#SDA26";1;"";;;
96;"U$5";"A04";1;"";;;
