"Part";"Value";"Device";"Package";"Description";"";
"C1";"100pF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C2";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C3";"100pF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C5";"1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C6";"1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"IC1";"LMV358";"OPAMP-DUALU";"SO08";"Operational Amplifier";"";
"JP1";"";"M04PTH";"1X04";"Header 4";"";
"R1";"100K";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R2";"10K";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R3";"10K";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R4";"100K";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R5";"10K";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R6";"10K";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R7";"100K";"TRIMPOTSMD";"TRIMPOT-3MM";"";"";
"R8";"10K";"RESISTOR0402";"C0402";"Resistor";"";
"R9";"10K";"RESISTOR0402";"C0402";"Resistor";"";
"U$3";"LOGO-SFENEW";"LOGO-SFENEW";"SFE-NEW-WEBLOGO";"Spark Fun Electronics PCB Logo";"";
